train_loss,train_accuracy,valid_loss,valid_accuracy,learning_rate
0.8060043767552567,0.7907111899133176,0.4499881316584053,0.8420212765957447,0.001
0.3569699168299201,0.8760047281323877,0.35211401581764223,0.8786347517730496,0.0009831332840130886
0.31786214175940125,0.8874507486209614,0.3488330851209925,0.8791666666666667,0.0009336825748732971
0.2933628149864897,0.894139085894405,0.3188003699618874,0.886790780141844,0.0008550178566873409
0.2730446247907959,0.9003743104806935,0.3171716180042172,0.8857269503546099,0.0007524999999999999
0.2539928601800785,0.9055851063829787,0.30382638527146466,0.8881205673758865,0.0006331154273257478
0.23453428654618108,0.9115839243498818,0.3037068057990243,0.8908687943262411,0.000505
0.2132139437070881,0.9188041765169425,0.3002019488642402,0.8921985815602836,0.00037688457267425233
0.19171001105866534,0.9274822695035461,0.2970142001589985,0.8917553191489361,0.00025750000000000013
0.1726694778300722,0.9343183609141056,0.29467920079721627,0.8960992907801418,0.000154982143312659
0.1580087475367096,0.9412135539795115,0.295248384868845,0.8967198581560284,7.631742512670284e-05
0.14901236717018956,0.9448384554767534,0.29610806363271486,0.8937943262411348,2.6866715986911242e-05
0.1454342302912516,0.9471729708431836,0.2961123840394595,0.8944148936170213,1e-05
0.14579274291077216,0.9463947990543735,0.29810482229746826,0.8949468085106383,2.6866715986911188e-05
0.14864518939039667,0.9443065405831363,0.3034388444102402,0.8921099290780142,7.63174251267028e-05
