train_loss,train_accuracy,valid_loss,valid_accuracy,learning_rate
0.9439752974126919,0.7085894405043341,0.5490987310172818,0.8170212765957446,0.05
0.6048880857121203,0.8016449960598897,0.4644516426620754,0.836968085106383,0.05
0.5334170866566816,0.8217986603624902,0.44155062475103013,0.8456560283687943,0.05
0.4508280118118599,0.8482565011820331,0.38393579958178475,0.8647163120567376,0.025
0.4309128727473266,0.8519996059889677,0.38020695236557767,0.8653368794326242,0.025
0.42140340947841826,0.8563041765169425,0.3755631700052437,0.8681737588652483,0.025
0.38892779652296416,0.8668045705279748,0.3602181175499098,0.8710106382978723,0.0125
0.3797222560460968,0.8690799842395587,0.3588056091298448,0.8740248226950355,0.0125
0.3729962615585402,0.8712864460204885,0.3590208688949017,0.8725177304964539,0.0125
0.35485310661125785,0.8773049645390071,0.3484868570633814,0.8778368794326241,0.00625
0.35152446518177305,0.8783096926713948,0.34576642659116297,0.8792553191489362,0.00625
0.35087503953840526,0.8782998423955871,0.3431047410406965,0.8811170212765957,0.00625
0.33907845167309586,0.8818360914105595,0.3371390167914384,0.8805851063829787,0.003125
0.3359941929790145,0.8829688731284476,0.3415013483864196,0.8797872340425532,0.003125
0.3345828557033253,0.8829787234042553,0.33962512472842604,0.8816489361702128,0.003125
