stage,loss,accuracy,precision_macro,recall_macro,f1_macro
baseline_valid,0.3917260357251404,0.862145390070922,0.8716857147664278,0.8637366620547886,0.8602188593904272
baseline_test,0.40550014371567583,0.8581382978723404,0.8637758025031832,0.8581382978723402,0.854918120615961
final_valid,0.33962512472842604,0.8816489361702128,0.8856422990479833,0.8831887307795089,0.8821860305348792
final_test,0.34657064833539597,0.8786702127659575,0.8805218619636312,0.8786702127659572,0.8777082367628074
