sample_ratio,train_samples,best_valid_accuracy,best_valid_loss,test_accuracy,test_f1_macro
0.3,30456,0.8535460992907802,0.41656027744847834,0.8537234042553191,0.8510770849261007
0.5,50760,0.8760638297872341,0.3507758428230353,0.8751595744680851,0.8741099615621918
1.0,101520,0.8933510638297872,0.2910065287076835,0.896595744680851,0.895203395200078
