stage,parameter_count,loss,accuracy,precision_macro,recall_macro,f1_macro
baseline_valid,544943,0.33836422000370975,0.8791666666666667,0.8856492020864098,0.8808661771500815,0.8783425872172789
baseline_test,544943,0.3407454517420302,0.88,0.8839687404434227,0.88,0.8777676661943373
final_valid,1258127,0.3274568393509439,0.8810283687943262,0.8898035326376751,0.8826436589576097,0.88041681690572
final_test,1258127,0.3378679891850086,0.8801063829787235,0.8859247399239681,0.8801063829787233,0.8780151505870015
