stage,loss,accuracy,precision_macro,recall_macro,f1_macro
baseline_valid,0.3535926917343275,0.8749113475177305,0.8817084184666107,0.8766591651333875,0.8742314975225441
baseline_test,0.35855851985038595,0.8754255319148936,0.880649499974088,0.8754255319148936,0.8734373727346879
final_valid,0.30334578782108657,0.8925531914893617,0.8985186981411618,0.8944511157300953,0.8929846258811974
final_test,0.30977188736834427,0.8931382978723404,0.8964706921642798,0.8931382978723406,0.8919522417711593
