perturbation,severity,loss,accuracy,precision_macro,recall_macro,f1_macro,accuracy_drop_vs_clean,f1_drop_vs_clean
clean_test,0.0,0.30977188736834427,0.8931382978723404,0.8964706921642798,0.8931382978723406,0.8919522417711593,0.0,0.0
rotation_10deg,10.0,,0.8725531914893617,0.8804190151862863,0.8725531914893616,0.8698084169210258,0.020585106382978724,0.022143824850133442
gaussian_noise_0.15,0.15,,0.8876595744680851,0.8887663063483616,0.8876595744680851,0.8866418548521993,0.00547872340425537,0.0053103869189600195
blur,1.0,,0.8686170212765958,0.8760284410347694,0.8686170212765957,0.866908384397504,0.024521276595744657,0.02504385737365533
