train_loss,train_accuracy,valid_loss,valid_accuracy,learning_rate
1.6070973364173944,0.5147557131599685,0.836613467652747,0.7266843971631206,0.0003
0.6606443496413641,0.776635145784082,0.5344904715710498,0.8179964539007092,0.0003
0.5167609841453457,0.82024231678487,0.45853323556007225,0.8397163120567376,0.0003
0.4604568242181277,0.8364657210401891,0.46129014263761803,0.8415780141843971,0.0003
0.42373493754835556,0.8479215918045705,0.4019379961575177,0.8554964539007093,0.0003
0.4006817161614168,0.8554669030732861,0.40386957627661685,0.8562056737588652,0.0003
0.38393058339332015,0.8617119779353822,0.3843035909723728,0.8612588652482269,0.0003
0.369446795704423,0.8642434988179669,0.36348526796973346,0.8726950354609929,0.0003
0.3559615823769776,0.8694739952718676,0.35468520509435775,0.8726063829787234,0.0003
0.3461601153990713,0.8724389282899921,0.3470073678603409,0.8704787234042554,0.0003
0.3394576619984692,0.8726753349093774,0.33825405527513924,0.8789893617021277,0.0003
0.3309992218459094,0.8763888888888889,0.3455194687589686,0.8701241134751773,0.0003
0.3242269734588545,0.8782899921197793,0.32249891090054883,0.8821808510638298,0.0003
0.31725968208906685,0.8800236406619385,0.32799674166855236,0.8833333333333333,0.0003
0.3097657360459426,0.8831264775413712,0.3479817986488342,0.874645390070922,0.0003
0.27931916586896205,0.8929767533490938,0.3030145880812449,0.8842198581560283,0.00015
0.27067375944015826,0.8950059101654846,0.3101651210311457,0.8867021276595745,0.00015
0.2683843835119754,0.8951832151300236,0.30155025173163585,0.888209219858156,0.00015
