sample_ratio,train_samples,best_valid_accuracy,test_accuracy,test_f1_macro
0.3,30456,0.8597517730496453,0.8601063829787234,0.8582875544880617
0.5,50760,0.8689716312056738,0.870904255319149,0.8699071224095701
1.0,101520,0.8819148936170212,0.879468085106383,0.8783471774682019
