train_loss,train_accuracy,valid_loss,valid_accuracy,learning_rate
0.9219243139615672,0.7259160756501182,0.4922506735679951,0.8346631205673759,0.05
0.47973278962880067,0.8376182033096927,0.4535225015582768,0.8473404255319149,0.05
0.4307986532636662,0.852098108747045,0.36883057055743873,0.8697695035460993,0.05
0.4008439131568416,0.8609042553191489,0.3722363965731141,0.8639184397163121,0.05
0.3849419917996424,0.8652088258471238,0.35353050003660486,0.8701241134751773,0.05
0.3757000831753556,0.8661643026004728,0.37918537314056505,0.8615248226950355,0.05
0.36468258231432066,0.8703703703703703,0.3463111730754798,0.876241134751773,0.05
0.3564605731302777,0.8727048857368006,0.34815795489236817,0.875709219858156,0.05
0.35157270942549707,0.8737884160756502,0.33553454620195616,0.8820921985815603,0.05
0.34790650480276397,0.875462962962963,0.347323045007726,0.8773049645390071,0.05
0.3420495159190128,0.8768223010244287,0.354674368039936,0.8763297872340425,0.05
0.31524288097735553,0.8860027580772262,0.3233858640735031,0.8794326241134752,0.025
0.31058317145745146,0.8875985027580773,0.3187565267508757,0.8830673758865248,0.025
0.30951698927826726,0.8878447596532703,0.325589882101573,0.8827127659574469,0.025
0.308696176289009,0.8877265563435777,0.30961170936307164,0.8852836879432624,0.025
0.3078218594463535,0.8870961386918834,0.309514615383554,0.8867021276595745,0.025
0.3060065856369299,0.8876576044129235,0.315253391460324,0.885549645390071,0.025
0.3045915339503164,0.8884751773049645,0.317048730748765,0.8860815602836879,0.025
0.28898719269239215,0.8943656422379826,0.30334578782108657,0.8925531914893617,0.0125
0.28866838762570407,0.8952915681639085,0.3028777947873934,0.8906028368794326,0.0125
